start_time,end_time,workflow,experiment_type,workers_with_anomaly
1660025845,1660028471,1000-genome,cpu_2,worker2-container-4-7 worker1-container-4-7 worker2-container-24-27 worker2-container-8-11 worker1-container-20-23
1660028480,1660031201,1000-genome,cpu_2,worker2-container-24-27 worker1-container-4-7 worker1-container-20-23 worker2-container-8-11 worker2-container-4-7
1660031211,1660034013,1000-genome,cpu_2,worker2-container-24-27 worker1-container-20-23 worker1-container-4-7 worker2-container-8-11 worker2-container-4-7
1660034032,1660036752,1000-genome,cpu_2,worker1-container-4-7 worker2-container-24-27 worker2-container-4-7 worker1-container-20-23 worker2-container-8-11
1660036757,1660039588,1000-genome,cpu_2,worker2-container-24-27 worker1-container-4-7 worker1-container-20-23 worker2-container-4-7 worker2-container-8-11
1660039604,1660042298,1000-genome,cpu_2,worker1-container-4-7 worker2-container-24-27 worker1-container-20-23 worker2-container-4-7 worker2-container-8-11
1660042329,1660045214,1000-genome,cpu_2,worker2-container-4-7 worker1-container-4-7 worker2-container-24-27 worker1-container-20-23 worker2-container-8-11
1660045235,1660048272,1000-genome,cpu_2,worker2-container-24-27 worker1-container-4-7 worker1-container-20-23 worker2-container-4-7 worker2-container-8-11
1660048298,1660050857,1000-genome,cpu_2,worker2-container-24-27 worker1-container-4-7 worker1-container-20-23 worker2-container-8-11 worker2-container-4-7
1660057116,1660059601,1000-genome,hdd_5,worker2-container-0-3 worker1-container-16-19 worker1-container-28-31 worker1-container-32-35 worker1-container-12-15
1660059630,1660062353,1000-genome,hdd_5,worker2-container-0-3 worker1-container-12-15 worker1-container-16-19 worker1-container-32-35 worker1-container-28-31
1660062385,1660065507,1000-genome,hdd_5,worker2-container-0-3 worker1-container-12-15 worker1-container-32-35 worker1-container-28-31 worker1-container-16-19
1660065534,1660068124,1000-genome,hdd_5,worker2-container-0-3 worker1-container-32-35 worker1-container-28-31 worker1-container-16-19 worker1-container-12-15
1660068138,1660070863,1000-genome,hdd_5,worker2-container-0-3 worker1-container-32-35 worker1-container-16-19 worker1-container-28-31 worker1-container-12-15
1660070894,1660073460,1000-genome,hdd_5,worker2-container-0-3 worker1-container-16-19 worker1-container-12-15 worker1-container-28-31 worker1-container-32-35
1660073474,1660076631,1000-genome,hdd_5,worker2-container-0-3 worker1-container-32-35 worker1-container-28-31 worker1-container-16-19 worker1-container-12-15
1660076652,1660079320,1000-genome,hdd_5,worker1-container-16-19 worker2-container-0-3 worker1-container-32-35 worker1-container-12-15 worker1-container-28-31
1660079348,1660082219,1000-genome,hdd_5,worker1-container-28-31 worker2-container-0-3 worker1-container-12-15 worker1-container-32-35 worker1-container-16-19
1660082224,1660085222,1000-genome,hdd_5,worker2-container-0-3 worker1-container-32-35 worker1-container-16-19 worker1-container-12-15 worker1-container-28-31
1660085256,1660088061,1000-genome,hdd_5,worker2-container-0-3 worker1-container-16-19 worker1-container-32-35 worker1-container-12-15 worker1-container-28-31
1660088077,1660090824,1000-genome,hdd_5,worker1-container-32-35 worker2-container-0-3 worker1-container-28-31 worker1-container-16-19 worker1-container-12-15
1660090833,1660093563,1000-genome,hdd_5,worker1-container-32-35 worker2-container-0-3 worker1-container-16-19 worker1-container-28-31 worker1-container-12-15
1660093589,1660096348,1000-genome,hdd_5,worker2-container-0-3 worker1-container-32-35 worker1-container-12-15 worker1-container-28-31 worker1-container-16-19
1660096375,1660099027,1000-genome,hdd_5,worker2-container-0-3 worker1-container-32-35 worker1-container-16-19 worker1-container-28-31 worker1-container-12-15
1660099040,1660101825,1000-genome,hdd_5,worker2-container-0-3 worker1-container-12-15 worker1-container-32-35 worker1-container-28-31 worker1-container-16-19
1660101856,1660104631,1000-genome,hdd_5,worker2-container-0-3 worker1-container-12-15 worker1-container-16-19 worker1-container-32-35 worker1-container-28-31
1660104642,1660107174,1000-genome,hdd_5,worker1-container-32-35 worker1-container-12-15 worker2-container-0-3 worker1-container-16-19 worker1-container-28-31
1660107186,1660109745,1000-genome,hdd_5,worker2-container-0-3 worker1-container-12-15 worker1-container-16-19 worker1-container-32-35 worker1-container-28-31
1660109761,1660112538,1000-genome,hdd_5,worker2-container-0-3 worker1-container-32-35 worker1-container-16-19 worker1-container-12-15 worker1-container-28-31
1660112546,1660115088,1000-genome,hdd_5,worker2-container-0-3 worker1-container-16-19 worker1-container-12-15 worker1-container-28-31 worker1-container-32-35
1660115091,1660117543,1000-genome,hdd_5,worker1-container-16-19 worker1-container-32-35 worker1-container-12-15 worker1-container-28-31 worker2-container-0-3
1660117575,1660120260,1000-genome,hdd_5,worker2-container-0-3 worker1-container-32-35 worker1-container-16-19 worker1-container-28-31 worker1-container-12-15
1660120270,1660123720,1000-genome,hdd_5,worker2-container-0-3 worker1-container-32-35 worker1-container-16-19 worker1-container-28-31 worker1-container-12-15
1660123750,1660126430,1000-genome,hdd_5,worker1-container-32-35 worker2-container-0-3 worker1-container-16-19 worker1-container-12-15 worker1-container-28-31
1660895052,1660898682,1000-genome,hdd_5,worker2-container-36-39 worker2-container-32-35 worker2-container-12-15 worker1-container-8-11 worker1-container-12-15
1660898716,1660901820,1000-genome,hdd_5,worker2-container-32-35 worker2-container-12-15 worker1-container-12-15 worker1-container-8-11 worker2-container-36-39
1660901841,1660905060,1000-genome,hdd_5,worker2-container-32-35 worker2-container-12-15 worker1-container-12-15 worker1-container-8-11 worker2-container-36-39
1660905082,1660908146,1000-genome,hdd_5,worker2-container-32-35 worker2-container-12-15 worker1-container-12-15 worker1-container-8-11 worker2-container-36-39
1660908171,1660911590,1000-genome,hdd_5,worker2-container-36-39 worker2-container-32-35 worker2-container-12-15 worker1-container-8-11 worker1-container-12-15
1660911598,1660915276,1000-genome,hdd_5,worker2-container-12-15 worker1-container-8-11 worker2-container-36-39 worker1-container-12-15 worker2-container-32-35
1660915292,1660918558,1000-genome,hdd_5,worker2-container-32-35 worker2-container-12-15 worker1-container-8-11 worker2-container-36-39 worker1-container-12-15
1660918594,1660921738,1000-genome,hdd_5,worker2-container-32-35 worker2-container-12-15 worker1-container-12-15 worker1-container-8-11 worker2-container-36-39
1660921774,1660924978,1000-genome,hdd_5,worker1-container-12-15 worker2-container-32-35 worker2-container-12-15 worker1-container-8-11 worker2-container-36-39
1660925015,1660928170,1000-genome,hdd_5,worker2-container-12-15 worker2-container-36-39 worker1-container-12-15 worker2-container-32-35 worker1-container-8-11
1660928195,1660931250,1000-genome,hdd_5,worker2-container-32-35 worker2-container-12-15 worker1-container-8-11 worker2-container-36-39 worker1-container-12-15
1660931284,1660934936,1000-genome,hdd_5,worker2-container-12-15 worker2-container-32-35 worker1-container-8-11 worker2-container-36-39 worker1-container-12-15
1660934953,1660938179,1000-genome,hdd_5,worker2-container-36-39 worker2-container-32-35 worker1-container-12-15 worker2-container-12-15 worker1-container-8-11
1660938194,1660941597,1000-genome,hdd_5,worker2-container-32-35 worker2-container-12-15 worker1-container-12-15 worker1-container-8-11 worker2-container-36-39
1660941616,1660945007,1000-genome,hdd_5,worker2-container-32-35 worker2-container-36-39 worker2-container-12-15 worker1-container-12-15 worker1-container-8-11
1660945038,1660948273,1000-genome,hdd_5,worker2-container-12-15 worker2-container-32-35 worker1-container-8-11 worker2-container-36-39 worker1-container-12-15
1660948309,1660951413,1000-genome,hdd_5,worker2-container-32-35 worker2-container-12-15 worker1-container-12-15 worker1-container-8-11 worker2-container-36-39
1660951429,1660954485,1000-genome,hdd_5,worker2-container-12-15 worker2-container-32-35 worker2-container-36-39 worker1-container-8-11 worker1-container-12-15
1660954518,1660957538,1000-genome,hdd_5,worker2-container-32-35 worker2-container-12-15 worker1-container-12-15 worker2-container-36-39 worker1-container-8-11
1660957547,1660960746,1000-genome,hdd_5,worker2-container-12-15 worker2-container-32-35 worker1-container-8-11 worker2-container-36-39 worker1-container-12-15
1660960762,1660964118,1000-genome,hdd_5,worker2-container-32-35 worker2-container-12-15 worker1-container-12-15 worker1-container-8-11 worker2-container-36-39
1660964153,1660967711,1000-genome,hdd_5,worker2-container-12-15 worker2-container-32-35 worker2-container-36-39 worker1-container-8-11 worker1-container-12-15
1660967727,1660970825,1000-genome,hdd_5,worker2-container-36-39 worker2-container-32-35 worker2-container-12-15 worker1-container-12-15 worker1-container-8-11
1660970846,1660974044,1000-genome,hdd_5,worker2-container-32-35 worker2-container-12-15 worker1-container-12-15 worker2-container-36-39 worker1-container-8-11
1660974061,1660977212,1000-genome,hdd_5,worker2-container-12-15 worker1-container-8-11 worker2-container-36-39 worker2-container-32-35 worker1-container-12-15
1661002528,1661006561,1000-genome,cpu_3,worker2-container-28-31 worker1-container-4-7 worker1-container-36-39 worker1-container-28-31 worker1-container-20-23
1661006583,1661010786,1000-genome,cpu_3,worker1-container-28-31 worker1-container-36-39 worker2-container-28-31 worker1-container-4-7 worker1-container-20-23
1661010795,1661014869,1000-genome,cpu_3,worker1-container-4-7 worker1-container-28-31 worker1-container-20-23 worker2-container-28-31 worker1-container-36-39
1661014911,1661019029,1000-genome,cpu_3,worker1-container-28-31 worker1-container-20-23 worker1-container-36-39 worker2-container-28-31 worker1-container-4-7
1661019058,1661023211,1000-genome,cpu_3,worker1-container-36-39 worker1-container-28-31 worker1-container-4-7 worker1-container-20-23 worker2-container-28-31
1661023234,1661027414,1000-genome,cpu_3,worker1-container-28-31 worker1-container-4-7 worker1-container-20-23 worker2-container-28-31 worker1-container-36-39
1661027446,1661031494,1000-genome,cpu_3,worker1-container-28-31 worker1-container-20-23 worker1-container-4-7 worker2-container-28-31 worker1-container-36-39
1661031531,1661035414,1000-genome,cpu_3,worker1-container-28-31 worker1-container-36-39 worker2-container-28-31 worker1-container-20-23 worker1-container-4-7
1661035436,1661039589,1000-genome,cpu_3,worker1-container-28-31 worker1-container-20-23 worker1-container-36-39 worker1-container-4-7 worker2-container-28-31
1661039613,1661043796,1000-genome,cpu_3,worker1-container-36-39 worker2-container-28-31 worker1-container-20-23 worker1-container-28-31 worker1-container-4-7
1661043820,1661047800,1000-genome,cpu_3,worker1-container-28-31 worker1-container-36-39 worker1-container-4-7 worker1-container-20-23 worker2-container-28-31
1661047825,1661051864,1000-genome,cpu_3,worker1-container-28-31 worker1-container-36-39 worker1-container-20-23 worker1-container-4-7 worker2-container-28-31
1661051886,1661055757,1000-genome,cpu_3,worker1-container-4-7 worker1-container-20-23 worker1-container-36-39 worker2-container-28-31 worker1-container-28-31
1661055790,1661059786,1000-genome,cpu_3,worker1-container-28-31 worker1-container-20-23 worker1-container-4-7 worker2-container-28-31 worker1-container-36-39
1661059791,1661064163,1000-genome,cpu_3,worker1-container-28-31 worker1-container-36-39 worker1-container-20-23 worker2-container-28-31 worker1-container-4-7
1661064178,1661068174,1000-genome,cpu_3,worker1-container-28-31 worker1-container-36-39 worker1-container-20-23 worker2-container-28-31 worker1-container-4-7
1661068204,1661072199,1000-genome,cpu_3,worker1-container-28-31 worker1-container-20-23 worker1-container-4-7 worker1-container-36-39 worker2-container-28-31
1661072229,1661076071,1000-genome,cpu_3,worker1-container-28-31 worker1-container-36-39 worker2-container-28-31 worker1-container-4-7 worker1-container-20-23
1661076104,1661079963,1000-genome,cpu_3,worker1-container-28-31 worker1-container-36-39 worker2-container-28-31 worker1-container-4-7 worker1-container-20-23
1661079983,1661083983,1000-genome,cpu_3,worker1-container-28-31 worker1-container-36-39 worker1-container-20-23 worker2-container-28-31 worker1-container-4-7
1661084013,1661087883,1000-genome,cpu_3,worker1-container-28-31 worker1-container-36-39 worker2-container-28-31 worker1-container-4-7 worker1-container-20-23
1661087918,1661092071,1000-genome,cpu_3,worker1-container-28-31 worker1-container-36-39 worker1-container-20-23 worker1-container-4-7 worker2-container-28-31
1661092095,1661096273,1000-genome,cpu_3,worker1-container-28-31 worker1-container-36-39 worker1-container-4-7 worker1-container-20-23 worker2-container-28-31
1661096301,1661100306,1000-genome,cpu_3,worker1-container-28-31 worker1-container-4-7 worker1-container-20-23 worker2-container-28-31 worker1-container-36-39
1661100327,1661104346,1000-genome,cpu_3,worker1-container-4-7 worker1-container-28-31 worker2-container-28-31 worker1-container-20-23 worker1-container-36-39
1662149249,1662153661,1000-genome,hdd_5,worker1-container-4-7 worker2-container-8-11 worker2-container-4-7 worker1-container-36-39 worker2-container-32-35 worker1-container-20-23 worker2-container-16-19 worker1-container-28-31 worker1-container-12-15 worker1-container-8-11
1662153675,1662157664,1000-genome,hdd_5,worker2-container-8-11 worker2-container-16-19 worker2-container-4-7 worker1-container-12-15 worker2-container-32-35 worker1-container-8-11 worker1-container-36-39 worker1-container-20-23 worker1-container-28-31 worker1-container-4-7
1662157677,1662161321,1000-genome,hdd_5,worker1-container-28-31 worker1-container-4-7 worker2-container-8-11 worker2-container-4-7 worker1-container-36-39 worker1-container-20-23 worker1-container-8-11 worker2-container-16-19 worker1-container-12-15 worker2-container-32-35
1662161347,1662164788,1000-genome,hdd_5,worker1-container-28-31 worker2-container-8-11 worker1-container-8-11 worker1-container-36-39 worker2-container-16-19 worker2-container-32-35 worker1-container-20-23 worker1-container-4-7 worker1-container-12-15 worker2-container-4-7
1662164805,1662169257,1000-genome,hdd_5,worker1-container-36-39 worker2-container-16-19 worker1-container-28-31 worker1-container-8-11 worker1-container-12-15 worker2-container-4-7 worker2-container-32-35 worker1-container-4-7 worker1-container-20-23 worker2-container-8-11
1662169286,1662173209,1000-genome,hdd_5,worker1-container-12-15 worker2-container-16-19 worker1-container-8-11 worker2-container-8-11 worker2-container-4-7 worker1-container-20-23 worker2-container-32-35 worker1-container-28-31 worker1-container-4-7 worker1-container-36-39
1662173223,1662176927,1000-genome,hdd_5,worker2-container-16-19 worker1-container-4-7 worker2-container-8-11 worker1-container-36-39 worker2-container-4-7 worker1-container-12-15 worker1-container-20-23 worker1-container-28-31 worker1-container-8-11 worker2-container-32-35
1662176953,1662181284,1000-genome,hdd_5,worker2-container-8-11 worker1-container-12-15 worker1-container-28-31 worker2-container-4-7 worker1-container-20-23 worker2-container-16-19 worker1-container-4-7 worker2-container-32-35 worker1-container-8-11 worker1-container-36-39
1662181319,1662185189,1000-genome,hdd_5,worker1-container-20-23 worker1-container-4-7 worker1-container-12-15 worker2-container-8-11 worker1-container-36-39 worker1-container-28-31 worker2-container-16-19 worker2-container-32-35 worker1-container-8-11 worker2-container-4-7
1662185200,1662189554,1000-genome,hdd_5,worker1-container-12-15 worker1-container-8-11 worker2-container-8-11 worker2-container-4-7 worker1-container-36-39 worker2-container-16-19 worker2-container-32-35 worker1-container-20-23 worker1-container-28-31 worker1-container-4-7
1662189570,1662193416,1000-genome,hdd_5,worker1-container-8-11 worker1-container-12-15 worker2-container-8-11 worker2-container-4-7 worker2-container-32-35 worker1-container-4-7 worker1-container-20-23 worker2-container-16-19 worker1-container-28-31 worker1-container-36-39
1662193422,1662196936,1000-genome,hdd_5,worker1-container-12-15 worker2-container-16-19 worker1-container-4-7 worker1-container-36-39 worker2-container-8-11 worker2-container-4-7 worker2-container-32-35 worker1-container-20-23 worker1-container-28-31 worker1-container-8-11
1662196946,1662200388,1000-genome,hdd_5,worker2-container-8-11 worker2-container-4-7 worker2-container-16-19 worker1-container-28-31 worker1-container-36-39 worker1-container-4-7 worker2-container-32-35 worker1-container-20-23 worker1-container-12-15 worker1-container-8-11
1662200404,1662204338,1000-genome,hdd_5,worker1-container-8-11 worker1-container-28-31 worker2-container-8-11 worker2-container-4-7 worker1-container-36-39 worker2-container-32-35 worker2-container-16-19 worker1-container-4-7 worker1-container-12-15 worker1-container-20-23
1662204345,1662208085,1000-genome,hdd_5,worker1-container-8-11 worker2-container-8-11 worker1-container-28-31 worker1-container-36-39 worker2-container-4-7 worker2-container-32-35 worker2-container-16-19 worker1-container-12-15 worker1-container-4-7 worker1-container-20-23
1662208111,1662211582,1000-genome,hdd_5,worker2-container-16-19 worker2-container-8-11 worker1-container-28-31 worker2-container-4-7 worker1-container-36-39 worker1-container-4-7 worker1-container-20-23 worker1-container-12-15 worker2-container-32-35 worker1-container-8-11
1662211599,1662214960,1000-genome,hdd_5,worker1-container-4-7 worker1-container-12-15 worker1-container-28-31 worker2-container-8-11 worker2-container-4-7 worker1-container-36-39 worker2-container-32-35 worker1-container-20-23 worker2-container-16-19 worker1-container-8-11
1662214995,1662218719,1000-genome,hdd_5,worker1-container-12-15 worker1-container-28-31 worker1-container-8-11 worker2-container-4-7 worker1-container-36-39 worker2-container-32-35 worker2-container-8-11 worker1-container-20-23 worker1-container-4-7 worker2-container-16-19
1662218730,1662222475,1000-genome,hdd_5,worker2-container-8-11 worker2-container-4-7 worker1-container-12-15 worker2-container-32-35 worker1-container-36-39 worker1-container-4-7 worker1-container-8-11 worker2-container-16-19 worker1-container-28-31 worker1-container-20-23
1662222516,1662226126,1000-genome,hdd_5,worker2-container-8-11 worker1-container-36-39 worker2-container-4-7 worker1-container-28-31 worker2-container-32-35 worker1-container-8-11 worker1-container-20-23 worker2-container-16-19 worker1-container-12-15 worker1-container-4-7
1662226151,1662230385,1000-genome,hdd_5,worker2-container-8-11 worker1-container-12-15 worker1-container-20-23 worker2-container-32-35 worker2-container-4-7 worker1-container-28-31 worker1-container-36-39 worker2-container-16-19 worker1-container-8-11 worker1-container-4-7
1662230395,1662233864,1000-genome,hdd_5,worker1-container-28-31 worker2-container-4-7 worker2-container-8-11 worker2-container-16-19 worker1-container-36-39 worker1-container-12-15 worker2-container-32-35 worker1-container-20-23 worker1-container-8-11 worker1-container-4-7
1662233878,1662237334,1000-genome,hdd_5,worker1-container-4-7 worker2-container-8-11 worker1-container-8-11 worker2-container-4-7 worker1-container-36-39 worker1-container-20-23 worker1-container-28-31 worker2-container-16-19 worker1-container-12-15 worker2-container-32-35
1662237336,1662241486,1000-genome,hdd_5,worker2-container-8-11 worker2-container-4-7 worker1-container-36-39 worker2-container-32-35 worker1-container-28-31 worker1-container-20-23 worker1-container-8-11 worker2-container-16-19 worker1-container-12-15 worker1-container-4-7
1662241520,1662245738,1000-genome,hdd_5,worker2-container-8-11 worker2-container-4-7 worker1-container-4-7 worker1-container-36-39 worker2-container-32-35 worker1-container-8-11 worker1-container-20-23 worker1-container-28-31 worker2-container-16-19 worker1-container-12-15
1662408930,1662412986,1000-genome,hdd_5,worker2-container-24-27 worker1-container-12-15 worker2-container-28-31 worker1-container-16-19 worker2-container-8-11 worker2-container-12-15 worker1-container-24-27 worker1-container-28-31 worker2-container-32-35 worker1-container-20-23 worker1-container-8-11 worker2-container-36-39 worker2-container-4-7 worker2-container-20-23 worker1-container-4-7
1662412989,1662417430,1000-genome,hdd_5,worker2-container-20-23 worker1-container-28-31 worker2-container-28-31 worker1-container-12-15 worker2-container-4-7 worker1-container-20-23 worker2-container-36-39 worker2-container-24-27 worker2-container-32-35 worker1-container-24-27 worker1-container-8-11 worker2-container-12-15 worker2-container-8-11 worker1-container-4-7 worker1-container-16-19
1662417451,1662421304,1000-genome,hdd_5,worker1-container-28-31 worker1-container-12-15 worker2-container-28-31 worker2-container-4-7 worker2-container-12-15 worker2-container-32-35 worker2-container-24-27 worker1-container-20-23 worker1-container-8-11 worker1-container-4-7 worker2-container-36-39 worker1-container-24-27 worker2-container-8-11 worker2-container-20-23 worker1-container-16-19
1662421332,1662425413,1000-genome,hdd_5,worker2-container-24-27 worker1-container-12-15 worker2-container-12-15 worker2-container-28-31 worker1-container-20-23 worker1-container-16-19 worker1-container-4-7 worker1-container-24-27 worker2-container-36-39 worker1-container-8-11 worker2-container-8-11 worker2-container-4-7 worker2-container-20-23 worker1-container-28-31 worker2-container-32-35
1662425427,1662430217,1000-genome,hdd_5,worker1-container-28-31 worker1-container-12-15 worker2-container-28-31 worker2-container-4-7 worker2-container-12-15 worker2-container-32-35 worker1-container-20-23 worker1-container-24-27 worker2-container-24-27 worker2-container-36-39 worker1-container-4-7 worker2-container-8-11 worker2-container-20-23 worker1-container-8-11 worker1-container-16-19
1662430242,1662434678,1000-genome,hdd_5,worker1-container-28-31 worker2-container-24-27 worker2-container-28-31 worker1-container-12-15 worker2-container-32-35 worker1-container-16-19 worker1-container-20-23 worker1-container-24-27 worker2-container-20-23 worker1-container-4-7 worker2-container-36-39 worker1-container-8-11 worker2-container-4-7 worker2-container-12-15 worker2-container-8-11
1662434694,1662438990,1000-genome,hdd_5,worker1-container-28-31 worker1-container-12-15 worker2-container-4-7 worker1-container-20-23 worker2-container-28-31 worker1-container-16-19 worker2-container-8-11 worker1-container-8-11 worker2-container-20-23 worker2-container-32-35 worker2-container-36-39 worker1-container-24-27 worker2-container-12-15 worker2-container-24-27 worker1-container-4-7
1662438994,1662442992,1000-genome,hdd_5,worker2-container-28-31 worker1-container-12-15 worker2-container-4-7 worker1-container-16-19 worker1-container-20-23 worker2-container-32-35 worker1-container-4-7 worker2-container-24-27 worker1-container-8-11 worker1-container-24-27 worker2-container-12-15 worker2-container-8-11 worker2-container-20-23 worker1-container-28-31 worker2-container-36-39
1662443021,1662447802,1000-genome,hdd_5,worker1-container-16-19 worker1-container-12-15 worker2-container-4-7 worker2-container-28-31 worker2-container-12-15 worker1-container-4-7 worker1-container-20-23 worker1-container-28-31 worker2-container-36-39 worker1-container-8-11 worker2-container-8-11 worker2-container-20-23 worker2-container-24-27 worker1-container-24-27 worker2-container-32-35
1662447816,1662452556,1000-genome,hdd_5,worker1-container-28-31 worker1-container-12-15 worker2-container-24-27 worker1-container-16-19 worker2-container-20-23 worker2-container-28-31 worker1-container-20-23 worker2-container-36-39 worker2-container-8-11 worker2-container-32-35 worker1-container-24-27 worker2-container-4-7 worker2-container-12-15 worker1-container-4-7 worker1-container-8-11
1662452570,1662457215,1000-genome,hdd_5,worker2-container-32-35 worker2-container-20-23 worker2-container-4-7 worker2-container-12-15 worker1-container-12-15 worker1-container-16-19 worker1-container-20-23 worker2-container-28-31 worker2-container-24-27 worker1-container-8-11 worker1-container-4-7 worker1-container-24-27 worker1-container-28-31 worker2-container-8-11 worker2-container-36-39
1662457239,1662461811,1000-genome,hdd_5,worker2-container-8-11 worker1-container-8-11 worker1-container-16-19 worker2-container-4-7 worker1-container-20-23 worker2-container-32-35 worker1-container-12-15 worker1-container-24-27 worker2-container-24-27 worker2-container-36-39 worker1-container-4-7 worker1-container-28-31 worker2-container-12-15 worker2-container-20-23 worker2-container-28-31
1662461841,1662466289,1000-genome,hdd_5,worker2-container-24-27 worker1-container-28-31 worker2-container-28-31 worker1-container-20-23 worker2-container-8-11 worker1-container-12-15 worker1-container-4-7 worker2-container-20-23 worker2-container-36-39 worker1-container-24-27 worker1-container-8-11 worker2-container-4-7 worker2-container-12-15 worker2-container-32-35 worker1-container-16-19
1662466298,1662470441,1000-genome,hdd_5,worker2-container-24-27 worker1-container-28-31 worker1-container-12-15 worker2-container-28-31 worker1-container-16-19 worker2-container-12-15 worker2-container-36-39 worker2-container-32-35 worker2-container-20-23 worker1-container-24-27 worker1-container-8-11 worker2-container-4-7 worker2-container-8-11 worker1-container-20-23 worker1-container-4-7
1662470447,1662474541,1000-genome,hdd_5,worker1-container-16-19 worker2-container-4-7 worker2-container-28-31 worker1-container-12-15 worker2-container-12-15 worker1-container-24-27 worker2-container-36-39 worker2-container-32-35 worker1-container-28-31 worker1-container-8-11 worker2-container-8-11 worker2-container-20-23 worker1-container-20-23 worker2-container-24-27 worker1-container-4-7
